text,label
COVID-19 Awards,False
Cancel the 2020-2021 school year SOLs,False
..,False
Protect our nurses!,False
SENSELESS IMPRISONMENT FOR MY MOM.. FIRST TIME OFFENDER NON-VIOLENT CRIME,False
COVID-19: Demand immediate release for those incarcerated in Knox County jail,False
"Petition to recall Desmond Elliot from the Lagos House of Assembly, Surulere Constituency",False
Texas UIL Spring Sports/Competitions to be completed during the Summer of 2020,False
Prioritize Vaccinating Florida Teachers,True
Save Plum Island Coffee Roasters,False
Suspend Rent & Mortgage in Canada during COVID-19,False
Ask the City of Winston-Salem to support in-street dining for downtown resturants!,False
Have Online Classes & Close Physical BMCC campus due to Outbreak of COVID-19,False
Appello per la pace in Etiopia,False
Stop Guinea Pig Vaccine Tests In  Africa for Covid 19/ Corona Virus,False
Rowan University: Universal Pass System,False
Allow Athletic Therapists to treat their patients,False
Allow not COVID related evictions,False
#FreeNeko from Navajo County Jail,False
ÖZEL OKUL ÖDEMELERİNİNDE İNDİRİM,False
Allow Golf courses to open in Ontario,False
Extend Winter Break at UBC,False
Include Preschool Teachers in the Phase 1b vaccine rollout in Kentucky,True
"Justice for Dr. Abhishek Bhayana, youngest frontline covid warrior",False
Petition for Approval to Provide Illinois Early Intervention Services via Telehealth,False
Help animal shelters during COVID-19,False
"Allow access in Point Roberts, WA for Canadian property, boat & animal owners",False
Lower Tuition at Hope College During Covid-19,False
School Stays ON !,False
Licensure Extension for TLLP due to COVID-19,False
Cancel rental payment for international student of Australia during COVID-19 crisis,False
Provide easily accessible and free COVID-19 testing across India.,False
Community Demands for Lesley University's Covid-19 Response,False
Free Jay Regas,False
Remove Dr. Wajid Ahmed from his position as Medical Officer of Health for Windsor/Essex,False
Hazard Pay For Essential Workers,False
Let our 4 year old Melbourne kinder kids go to their Primary Schools for prep orientation,False
SHUTDOWN BROWARD COUNTY,False
Make the CDC report the number of coronavirus cases per state,False
End Hate Crimes Against Asian Americans,False
"Lockdown India Completely Until 31st Mar (At least) - (Buses, Flights, Trains, Shops etc)",False
Cancel the 2020 St Patrick's Day Parades in Ireland to help reduce the spread of COVID-19,False
Keep Yehaa Bob at Port Orleans,False
Allow Fall Advantage participants to arrive for the Fall program.,False
"Teachers, Students, and Staff are NOT Expendable",False
Change the 2020 Year 12 VCE Exams,False
Ban Eating Dogs & Cats in China - Now.,False
Covid-19:   Salud a través del ejercicio!,False
Call for the Resignation of Los Angeles Mayor Eric Garcetti for BLM Protest Response,False
Lower the amount of work given to KHSD students,False
Cancel GEBE bills during lockdown,False
Suspension of rent payments to students during the Coronavirus pandemic.,False
It now time for temples and religious institutions to donate for COVID relief,False
Expedite NBCOT Exam Process,False
“TAKE  ACTION AGAINST CORRUPTION NOW”,False
Pharmacy Personnel MUST be included in Gov. Wolf's COVID-19 PA Hazard Pay Grant Program!!!,False
University students should not have to pay last instalment of rent if they move out,False
Recall WI Governor Tony Evers,False
Transparency for Missouri beef consumers and producers,False
Virginia Covid-19 Mandatory Shelter in Place,False
Open Texas Nursing Homes and Assisted Living Centers,False
Claps don't pay the bills - give all NHS workers a 15% pay rise #NHSPay15,False
Mandate PPE for Dental Hygienists NOW!,False
Carteret County Surf Now,False
"COVID-19 Pass/Fail Grading Initiative for FCPS - Frederick, MD",False
Provide Food and Safe Transport to Stranded Migrants during COVID-19 Lockdown,False
Save Newquay Killacourt,False
Mandate the collection of disaggregated health data for Canadians during COVID-19,False
Help Georgia Restaurants Survive COVID-19,False
SAVE OUR SMALL BUSINESS COMMUNITY!! Allow restaurants to be able to service outdoor dining,False
UHC refuses to pay equitably for COVID tests,False
UT AUSTIN NEEDS TO CONTACT ALL RESIDENTS AND STAFF WHEN COVID-19 CASES EMERGE,False
Pengurangan uang sekolah selama Home Learning karena dampak ekonomi dari Covid - 19.,False
"COVID-19 : Give the 320,000 homeless people in the U​.​K. shelter",False
Review of the constitution of the South African CoVID-19 National Command Council,False
Save Pine Island Club,False
Reopen Gyms To Help Combat COVID-19,False
Make COVID-19 Testing Free for Senior Citizens & Subsidised for All #PatientsBeforeProfits,False
We want to feel safe on social media platforms,False
Pass/Fail Grading Option at Adelphi University in response to COVID-19,False
"Prisoner's in danger of Covid-19. ""Please Help""
#PrisonersLivesMatterToo",False
Arrest Mocha Uson for Publishing False News in her Facebook Page,False
COVID-19: Allow free hospital parking for BC's health care workers.,False
REDUCTION IN SCHOOL FEES DURING COVID-19. Schools to run at no profit no loss till then,False
UW 2020 Commencement,False
Private schools to charge 50% tuition fees for online classes.,False
"Plea for $1,000,000 for COVID-19 Frontline Workers Families",False
Lift covid restrictions on Beauty industry!,False
COVID - Suspend School Until We Have Clarity,False
For NHS senior management to protect workers from COVID-19 as a priority,False
Early release for Hector Jimenez via medical parole or clemency due to COVID-19,False
No mandatory Covid-19 vaccine in Canada,True
Cancelling of HITS Events during COVID pandemic,False
Stop the Suppression and Redirection of Covid-19 Data,False
Keep Community Based Adult Services (CBAS) Available in California,False
"Close, Florida, close the beaches, Gov. DeSantis!",False
Nurses must be exempted from paying tax during covid-19.,False
Pass all SBISD students for the spring semester,False
Please Close Philadelphia Public Schools due to Coronavirus/COVID-19! Safety first!,False
"Support and reward healthcare workers, COVID-19",False
Stop UC Davis From Cutting Financial Aid During a Pandemic,False
Ban face to face teaching at City of Glasgow College with immediate effect - COVID-19,False
SUPPORT FOR SME WORKING DIRECTORS UNDER JOBS SUPPORT SCHEME (JSS),False
COVID-19 Small Business economic hardship,False
Reopen The Spotlight Theatre ASAP,False
Remove mandated bulk-billing from COVID-19 telehealth item numbers.,False
Open Up Private Recreational Motorcycle & ATV Areas In NY,False
Stop Covid-19 Related Dismissals at Glasgow Colleges,False
Proposal to Make Alberta's Diploma Examinations Voluntary,False
"ICMR JRF 2020 ,DBT BET JRF 2020 and GATB 2020 got postponed now",False
Stop the RHS Bridgewater from further culling of roe deer at their site,False
Joe Biden's Candidacy is Failing - We Demand a Stronger Nominee. Democrats: Act Now.,False
Close All Wildlife Trading Markets Globally,False
Lift Restrictions for New Brunswickers Travelling to Nova Scotia,False
We Demand Free Internet for ALL Low-Income Families During COVID-19,False
A Campaign to Protect Dover Forest!,False
Signez la lettre pour le retrait de la proposition de loi sur un ordre des psychologues,False
URGENT CALL - Release Julian Assange from Belmarsh NOW!,False
Amend order to allow JCPD officers to wear BDU's during PANDEMIC!,False
Play Fair - Let Live Music Live,False
Make Covid duty for final MBBS students voluntary,False
Bring back Division III National Championships,False
Lockdown Pakistan to Prevent COVID-19 Transmission,False
Cancel all further assignments and exams due to instability caused by COVID-19,False
Get Washington county closed because of Covid-19,False
Please help the residents of Guildwood Extendicare during Covid Crisis,False
Take back the decision to end the relationship with the Chinese scholars who fund by CSC,False
Stop Transport Canada rescinding covid response that allows you to stay in your vehicle,False
Take Action to End Canada's Blood Donation Ban,False
COVID-19：Request For MPCSD to Close Schools for the Safety of our Community and Children,False
"Stop Con Edison from potentially spreading Covid-19 to its workers, and the NYC public!",False
We study in online mode we want online Semester examination for every university students,False
Enforce State and Local COVID-19 Rules in all California State Employee Workplaces,False
We want the Human rights commission to lay charges of racism against Russell Kruger.,False
Close CCPS schools to limit spread of coronavirus.,False
Keep X-rays for Chiropractors for the health benefit of future patients.,False
Change UAlberta Classes from in person to Online due to COVID-19,False
Animal Charities including Wildlife Rescues deserve government support during Covid-19,False
Stop the relocation of a Sexually Violent Predator to Twentynine Palms!,False
Cancel Rent Payments in Finland for International Students during Covid-19.,False
Demand California Delay Implementing Cuts to Pharmacies During COVID-19 Pandemic,False
Hunts and shoots should not be exempt from 6 person rule + Covid-19 restrictions,False
APPEAL COVID-19/ BEAUTY INDUSTRY,False
Mississippi State University students want the option for classes to be Pass/Fail,False
Tertiary Students of JA Appeal to Reduce Tuition 15-20% & Refund Miscellaneous/ Late Fees.,False
AMPLIACION DE LA BECA CONTINUIDAD DE ESTUDIOS I - II Convocatoria. BECA PRONABEC,False
Petition Sokongan kepada Ketua Pengarah KKM Datuk Dr. Noor Hisham Bin Abdullah,False
Allow EBT recipients to order groceries online during COVID-19 pandemic and beyond.,False
Cancel Alberta Diploma Examinations,False
The beauty industry - financial support & operational clarity from government & insurers,False
Potential treatment for COVID-19 should not harm Canadians living with lupus,False
Save Akron's Last Major Greenspace!,False
Allow Donna Kay Rule to compete in the NFR!,False
Stop classes and encourage online classes to reduce spread of COVID-19 in uniten,False
Hazard Pay for Wal-Mart Associates,False
Demand FDA Approval for Emergency Use of Ivermectin for Covid 19 Treatment,False
NO TO THE DISPLACEMENT OF MARIACHIS AT MARIACHI PLAZA IN BOYLE HEIGHTS!,False
Provide financial support for ALL Sole Traders in Victoria,False
Allow medical schools to proctor board exams to combat scheduling issues due to COVID-19.,False
Let babies travel on their mother's passport into South Africa for Medical Emergencies,False
Pembroke Pines utilities cost increase during COVID-19,False
"Give Children and Families Access to Beaches, Parks and Trails in Hawaii",False
"Save Donderberg , Sauvons l'espace vert du Donderberg à Laeken , Red Donderberg",False
COVID Transparency at BYU,False
Postpone JEE & NEET to the end of 2020,False
Save my dad from ICE's virus-ridden detention centers,False
India needs to change its stance on mental health,False
"No School Re-Opening, Protect Our Children",False
"Covid-19 Minnesota families rent,mortgages, utilities,and monthly Bill's or hardships!",False
Varsity College must decrease their school fees by 35% because of the COVID 19 pandemic,False
Car Dealerships are Non-Essential During COVID-19 and should be be closed!,False
Hazard Pay For The Front Line,False
UAH: Extend a Pass/Fail Option Due to COVID-19,False
Maharashtra CM : Make an announcement in Reduction & Deferment of School Fees !,False
To allow the children of a covid victim to remain in their home.,False
Help convince the SUSD that Students & Teachers Need Leniency in Grading during COVID-19.,False
"Glasgow Life, Reconsider Library Closures",False
Get Classes Moved To Online Due to Corona Virus (Covid-19),False
Release my mother due to COVID-19,False
"Allow venues, stadia, and hotels with Covid Controls in place to operate at capacity",False
Stop insurance providers from rejecting doctor-recommended cancer treatment.,False
"Let's get back golfing, rowing, playing tennis and picnicking again Ontario.",False
Fast food restaurants to print vehicle reg on takeaway packaging to discourage littering.,False
LOVE IS NOT TOURISM,False
#ProtectLibraryWorkers & communities: Don't reopen libraries until it's safe,False
Darden : Financial Relief for COVID-19,False
Close Pepperdine due to the Covid-19 Case in California,False
Keep NM Garden Nurseries Open,False
Stipend increment of Resident doctors who are working tirelessly to fight COVID19 PANDEMIC,False
Please help saving the life of my Father Kidnapped Dr Abbadi in Jordan,False
Hold the Chinese government accountable for COVID-19,False
Suspend school/college session until 2021,False
Keep our children safe and close the schools,False
Ensure Safe Watersports Access to Florida's Waterways during COVID-19 Pandemic,False
Powerful action against climate change by the governments,False
Continue Paying Northeastern Dining Hall Employees for the Next 30 Days,False
Australian Healthcare Workers demand safe Personal Protective Equipment for COVID-19,False
Force private nurseries to charge REDUCED fees during COVID-19 crisis,False
South Dakota High School Pass or Fail students -COVID-19,False
Save Maryland Restaurants,False
Re-Open Motocross Tracks Responsibly,False
Procurement of Covid-19 cure from Madagascar by the South African government.,False
Federal financial relief for restaurant industry — covid-19 pandemic,False
Close Petsmart Services in response to Covid-19 state of emergency,False
Venues should cancel South Padre Island Spring Break events to prevent COVID-19 exposure.,False
United Against COVID-19,False
I want people who are working during the Covid-19 pandemic to receive hazard pay.,False
Strongly Urge All Schools Closure in Edmonton for COVID-19,False
COVID-19 Requesting early release for Georgia work release program residents,False
Re-Open US Consulates for General Visa Appointments (Allowing Foreign Nationals to Travel),False
Close shopping malls  IMMEDIATELY to prevent the spread of COVID-19,False
I want the Covid Testing to be at an affordable price for ALL,False
UAW Local 2192 calls for covid-19 health and safety actions by Oberlin College,False
Allow 2020 Spring Sports to Continue Through the Summer,False
Postpone graduation!!!!!! DO NOT make it virtual,False
Stop Stephanie Alley from Potentially spreading the Coronavirus (CoVid 19 Virus),False
"Every penny counts- In case of death due to Covid, beneficiary to be granted tax exemption",False
Petition AGAINST Del Mar College School of Nursing Holding Back Graduates Due to COVID-19,False
"Student Loan Forgiveness for ""Covid-19"" Frontline Workers",False
Make UKZN shut down all campuses for an appropriate amount of time should COVID-19 worsen.,False
change school district grades from numerical to pass fail for 4th quarter due to covid,False
Hazard Pay For Transit Workers During Covid 10,False
Stand with Heine Brothers' Baristas during COVID-19 Outbreak: Give them the Choice!,False
Creat isolation hotel centers for COVID-19 self-isolation confirms,False
"Stop the barbaric wolf cull & poisoning in NWT, BC and AB",False
Extend JobKeeper For The Travel Industry Beyond March 28,False
Hazard Pay for COVID-19 Essential RI Workers,False
PM Modi: Tell Indian Men to Do an Equal Share of Household Chores in Your Next Speech,False
CONTRA LOS DESPIDOS EN ORANGE. ERE NO.,False
Coronavirus Europe - Let Google Vendor employees to work from home like Google employees,False
Opt-In and Implement AB 626 in Orange County,False
Chandler Unified School District must close schools until Covid-19 no longer is a threat,False
We want the COVID-19 Language Access Act!,False
Partial Reimbursement for University of Connecticut Spring 2020 Semester,False
Free 3 school teachers held in Italian covid centre for 2months. #FF3,False
Support for Farm Transitions and Sustainable Agricultural Practices,False
Demand that Micro-Businesses be priority to financial assistance for US COVID-19 relief!,False
Support Safe Schools for Saskatchewan,False
An Arts Sector-specific Rescue Package to Survive COVID-19 #HeartsForArts2020,False
Stop violence against doctors,False
Luxury Escapes to Honour Refund Policy Amidst COVID-19 Pandemic,False
Esami a distanza garantiti al Politecnico di Milano,False
Bring Thunder Bay District Out Of Lockdown and back into colour code system,False
Make Swiggy accessible with screen readers in Android for Visually Challenged People,False
Help change FL mandated clinical requirements for Nursing students in light of COVID-19,False
PETITION AGAINST PROPOSED CORONATION DRIVE WASTE PROCESSING PLANT,False
Shutdown Imperial county schools,False
Test Kits for CoVid-19 in Every City in the USA,False
Raise Awareness to Defeat COVID-19,False
Mary Seacole is now recognised as a  COVID-19  hospital in England,False
DONIAMO VENTILATORI POLMONARI AGLI OSPEDALI ITALIANI PUBBLICI,False
Housing for Healthcare Workers exposed to COVID-19,False
Student loan forgiveness for those working the front-lines of the COVID-19 pandemic,False
Luton mayor and councillors in breach of lockdown rules to resign,False
"Disinfect the streets, lobbies, transportation and stores everyday",False
In response to Okan University New payment schedule,False
Save 220k Massage Therapist's Careers  Covid-19 Licensed Health Care Economic Hardship,False
Extend COVID-19 Emergency Benefits / Prolonger les prestations d'urgence pour la COVID-19,False
Justice for Benny Davis,False
Demilitarize Walnut Creek Police Response!,False
"Rockford, IL Police Chief Daniel G. O’Shea Must Be Fired",False
URGENT! Irish Government Enact Vegan Law! to Stop COVID-19 & Stop Climate Change!,False
"""COVID-19 Relief"" for our incarcerated loved ones & DE DOC!",False
NO on SB20-163,False
Keep the test,False
"Name MUN's New Core Science Building the ""J. Fitzgerald Building""",False
Smoking Covid,False
"Halt Rent, Mortgage, and Utility Payments During COVID-19 Outbreak",False
#Don'tForgetStudents | #N'OubliezPaslesÉtudiants,False
Help the St. John’s University bowling team go to sectionals!,False
Lift Ban on Riding Road Registered Motorcycles During covid 19,False
Stop Allowing Flights with Covid Infected People to Land in Canada,False
"OPEN LETTER TO THE LEADERS OF THE COUNTRIES AND NATIONS OF THE EARTH

FOR THE POOR",False
Act now to save small businesses & start-ups - CBILS not available to so many...,False
"Support for NY State Licensed, High-Touch Service Professionals During Covid-19.",False
"Postponement of Final examinations for Mithibai College,in regards to Covid-19",False
Rescind Abbott’s Execute Order GA-13: Biased Bail Restrictions during COVID-19,False
"$2,000/month for Each Adult and $1,000/month for Each Child during COVID-19 crisis",False
Approve direct access to COVID-19 rapid screening tests,False
Restrict Northern BC Work Camps to Essential Operations Only - Covid-19,False
No Mandatory COVID-19 Testing For Ohio Athletics ( OHSAA) & Let Spectators In all Games.,False
Shut down all Visalia Unified School District Schools to prevent Corona Virus,False
ALTERNATIVE GRADUATION OPTION FOR CMS SENIORS,False
Protect Hanover community from Wegmans,False
Alberta golf courses should receive an exemption from mandated business closures,False
Petition for Online Teaching in QUB under COVID-19 Threat,False
University and College tuition reduction in Ontario,False
The easing of covid restrictions,False
Restrict Incoming Maui Flights to Slow Spread of COVID-19,False
Urge “shelter in place” order for the state of Utah,False
KKTC GİRNE AMERİKAN ÜNİVERSİTESİ ÖDEMELERİNE İNDİRİM İSTİYORUZ,False
Give NJ Teachers and school staff immediate access to the COVID-19 vaccine,True
Demand Johns Hopkins Protect its Graduate Employees amid COVID-19,False
Re-open unused wards of University Hospital of Hartlepool during Covid 19 pandemic,False
Postponing the JEE MAINS Examination april 2020 due to COVID-19 outbreak,False
Don't let new immigrants fall through the cracks during covid-19.,False
Protect our TWU community from COVID-19 by suspending face-to-face classes and meetings.,False
Urgent Action Needed: Strengthen Ethnic Studies in Stockton Unified School District,False
No More Live Markets - make the difference,False
SAVE THE NORTHCOTE PUBLIC GOLF COURSE,False
Save Western Ghats from annihilation,False
Save Beacon Hill Park,False
Government of India: Don't Tax Medical Bills,False
NO FAILING @ UCR,False
WIAA - Let them play football!,False
#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,False
Schedule Disneyland to reopen at a later date.,False
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,False
Cancel 12 th board exam,False
Close all CCPS schools to limit spread of Coronavirus,False
SAVE OUR FREEDOMS- No mandated mask-wearing,False
Appeal to the President of India on issues thrown up during lockdown,False
Waive off School Fee at Indian Schools in Oman due to COVID-19,False
Covid-19 Youth Brigades exploited,False
Protection from COVID-19,False
Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,False
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",False
Close Holland and Barrett Stores. (Covid-19 Crisis),False
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,False
Petition for holidays in Colleges in concern of COVID-19,False
Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,False
"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",False
Duval County Beach Access (COVID-19),False
Save Local Flower Shops - Let Them Deliver On Mother's Day,False
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,False
Ticketmaster Refund Our Money Now! - COVID 19,False
"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",False
Get British performers home from cruise ships #GetBenhome #Covid 19,False
Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,False
#PostPoneJEEandNEET in COVID,False
Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,False
Reverse Postponement of Winter & Spring Sports,False
#letthedjsplay,False
Pass all CSUDH Students for Spring 2020 with an A letter grade,False
"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",False
BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,False
Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,False
Stop Australian Banks Charging Interest during Covid-19,False
Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,False
Postpone UCLA Class of 2020 Commencement,False
NO IN SCHOOL EXAM COVID-19,False
Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,False
TRUSD Must Condemn Anti-Asian and Racist Behavior,False
¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,False
Shut Down PISD schools during Covid-19 Outbreak,False
Renew I Am Not Okay With This,False
Scotland Back in the EU,False
Government of Ghana Must Implement the National Health Laboratory Policy,False
Freeze Rent for All NYC Residents,False
Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,False
Spring sports for International leadership of texas,False
Temporary online classes for HELP students due to covid-19,False
Dominos Employees Demand COVID-19 Hazard Pay,False
Make FUHSD Classes Accessible Online,False
To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,False
Partial Refund of Fees for Curtin University Malaysia,False
ICE: Do not deport International Students,False
Free data for students,False
300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,False
A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,False
"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",False
COVID-19 TOTAL ENTRY BAN: ZAMBIA MUST CLOSE ITS BORDERS AND AIRPORTS IMMEDIATELY,False
No detriment policy for UWE Bristol,False
FDA expedite review and approval of lifesaving Cuban antiviral for COVID-19,True
Zero Percent Interest on Credit Cards during COVID19,False
"Make Corona Testing Free in India.
(Including Pvt. Hospitals and Clinics)",False
Petition for Nirma University to take preventive action against COVID 19,False
Hazard Pay and Family Leave for Walgreens Employees,False
"4-POINT THOMASIAN DEMANDS: FIGHT FOR OUR WELL-BEING, LIVELIHOOD, AND DEMOCRATIC RIGHTS!",False
Make masks mandatory in South Carolina,False
Pay PetSmart Employees While on Leave,False
"Wedding, Event & Creative Professionals Covid-19 Relief Fund",False
Dental Hygiene High Risk Occupation for exposure to COVID/19 Ensuring Personal Safety,False
